DIVISION,TOTAL,MALE,FEMALE,UNDERWEIGHT,OVERWEIGHT: BMI>25,OBESE : MBI >30,HYPERTENSION, BP MONITORING,DM,LOW HB,CHOL - HIGH,GGT - HIGH,CREA - HIGH,RBS - HIGH,PSA - HIGH,FOB - POSITIVE,UTI,CEA - HIGH,REGIONS
GSSD A,96,47,49,2,39,21,5,13.0,1,9,28,19,0.0,8,0,8,8,0,KENCOM DIVISIONS
RISK,36,19,17,0,20,5,0,6.0,0,1,11,6,0.0,6,0,7,5,0,KENCOM DIVISIONS
BANCASSUARANCE,21,10,11,0,9,6,0,1.0,0,2,11,4,0.0,2,0,2,2,0,KENCOM DIVISIONS
RETAIL,67,34,33,0,33,15,2,9.0,0,8,21,11,0.0,3,0,7,10,1,KENCOM DIVISIONS
MARKETING,12,3,9,0,6,4,0,1.0,0,1,4,1,0.0,1,0,0,1,0,KENCOM DIVISIONS
HR,55,31,24,0,25,9,3,7.0,3,4,16,11,1.0,5,0,4,4,0,KENCOM DIVISIONS
IT,97,75,22,2,42,18,5,15.0,4,5,20,20,1.0,9,0,9,11,0,KENCOM DIVISIONS
FINANCE/LEGAL,12,8,4,0,6,3,3,1.0,0,0,2,1,1.0,3,0,1,0,1,KENCOM DIVISIONS
GARISSA,12,8,4,0,4,1,0,2.0,0,1,3,3,0.0,1,0,2,1,0,CENTRAL REGION
EMBU,14,11,3,1,6,2,1,2.0,0,1,3,4,0.0,4,0,0,0,0,CENTRAL REGION
MERU,14,12,2,1,5,0,0,,0,0,1,2,0.0,1,0,1,1,0,CENTRAL REGION
MURANGA ,11,6,5,0,5,0,1,1.0,2,0,6,0,0.0,5,0,0,4,0,CENTRAL REGION
NYERI,15,8,7,0,5,3,2,3.0,1,2,3,4,0.0,0,0,0,0,0,CENTRAL REGION
THIKA,21,10,11,0,6,5,0,3.0,2,2,1,2,0.0,3,0,0,0,1,CENTRAL REGION
KITUI,22,13,9,0,9,1,1,7.0,1,0,3,7,0.0,0,0,0,2,0,CENTRAL REGION
MUKURWENI,5,4,1,0,2,0,0,0.0,0,1,3,0,0.0,0,0,0,1,0,CENTRAL REGION
WOTE,15,9,6,0,7,1,0,0.0,0,2,2,1,0.0,0,0,0,0,0,CENTRAL REGION
CHOGORIA,10,7,3,1,4,1,2,2.0,0,0,3,4,0.0,3,0,2,1,0,CENTRAL REGION
TALA,12,6,6,0,5,2,1,0.0,0,1,3,3,1.0,0,0,0,0,0,CENTRAL REGION
 KIKIMA ,13,8,5,0,6,3,1,0.0,0,0,3,3,0.0,0,0,0,1,0,CENTRAL REGION
NKUBU,18,11,7,0,5,2,0,0.0,0,0,3,5,0.0,3,0,0,6,3,CENTRAL REGION
MAKUTANO,13,7,6,1,7,1,1,3.0,0,1,2,4,1.0,3,0,0,0,0,CENTRAL REGION
